mlbamID,Name,BDB,statsID,cbsID,espnFantasyID,espnID,retroID,Pos_Class,bisID,altName
123415,Salomon Torres,torresa01,5118,288921,123,2960,torrs001,P,1628,
124185,Rondell White,whitero02,5126,8184,,,whitr001,,856,
119984,Darren Oliver,oliveda02,5127,7941,125,2969,olivd001,P,206,
110450,Cory Bailey,baileco01,5128,18557,,,bailc001,,588,
120903,Manny Ramirez,ramirma02,5132,7996,126,2974,ramim002,OF,210,
113744,Jim Edmonds,edmonji01,5151,7578,127,2993,edmoj001,OF,1153,
112937,Midre Cummings,cummimi01,5155,,,,cummm001,,1927,
119023,Dan Miceli,micelda01,5156,7885,,,miced001,,1463,
124523,Tony Womack,womacto01,5158,,,,womat001,,78,
116706,Chipper Jones,jonesch06,5164,7767,133,3006,jonec004,IF,97,
112031,Hector Carrasco,carrahe01,5165,8222,134,3007,carrh001,P,1240,
120766,Curtis Pride,pridecu01,5166,170107,135,,pridc001,,1762,
123431,Steve Trachsel,trachst01,5172,8133,136,,tracs001,P,898,
114260,Cliff Floyd,floydcl01,5177,7606,137,,floyc001,1B,518,
113232,Carlos Delgado,delgaca01,5178,7556,138,3020,delgc001,1B,1297,
115094,Shawn Green,greensh01,5179,7658,139,,grees001,,651,
116496,Kevin Jarvis,jarvike01,5184,123378,,,jarvk001,,1037,
124184,Rick White,whiteri01,5186,11104,142,,whitr002,,456,
120221,Chan Ho Park,parkch01,5187,7961,143,3029,parkc002,P,1267,
122803,Kelly Stinnett,stinnke01,5193,8097,,,stink001,,356,
120451,Roberto Petagine,petagro01,5201,,,,petar001,1B,8607,
118414,Mike Matheny,mathemi01,5205,,,,mathm001,,1169,
115727,Rick Helling,helliri01,5207,,,,hellr001,,58,
117769,Jose Lima,limajo01,5212,,,,limaj001,P,475,
118065,John Mabry,mabryjo01,5215,,150,,mabrj001,,1381,
119348,Mike Mordecai,mordemi01,5227,,,,mordm001,,1385,
116569,Charles Johnson,johnsch04,5228,,,,johnc002,,523,
122201,Paul Shuey,shueypa01,5229,8063,1738,,shuep001,,406,
112297,Jeff Cirillo,cirilje01,5231,7514,153,3071,cirij001,,1073,
123707,Dave Veres,veresda01,5232,8153,,,vered001,,1188,
117758,Jon Lieber,liebejo01,5235,7816,154,3075,liebj001,P,287,
111241,Toby Borland,borlato02,5248,11092,,,borlt001,,511,
121616,Olmedo Saenz,saenzol01,5249,21694,156,,saeno001,,937,
118960,Jose Mercedes,,5251,,,,,P,396,
122332,Aaron Small,smallaa01,5260,8069,,,smala001,,1477,
123595,Ismael Valdez,valdeis01,5261,,,,valdi001,,1283,
113784,Joey Eischen,eischjo01,5266,,159,3106,eiscj001,,774,
117759,Mike Lieberthal,liebemi01,5270,7817,160,,liebm001,,959,
121347,Alex Rodriguez,rodrial01,5275,8023,161,3115,rodra001,IF,1274,
117929,Andrew Lorraine,,5278,,,,,P,1583,
110236,Garret Anderson,anderga01,5289,7386,162,3129,andeg001,OF,2,
110859,Armando Benitez,benitar01,5290,8220,163,3130,benia001,P,865,
111262,Ricky Bottalico,bottari01,5292,,,,bottr001,,948,
120922,Joe Randa,randajo01,5298,,,,randj002,,623,
116075,Todd Hollandsworth,hollato01,5301,,167,,hollt001,,433,
120107,Antonio Osuna,osunaan01,5302,,,,osuna002,P,249,
124343,Todd Williams,willito02,5303,8195,169,3143,willt001,,805,
119624,Mike Myers,myersmi01,5307,7915,170,3147,myerm001,P,68,
120416,Tomas Perez,perezto03,5310,13157,171,3150,peret003,IF,965,
120401,Troy Percival,percitr01,5315,7966,172,3155,perct001,P,29,
115915,Bobby Higginson,higgibo02,5321,,,,higgb001,,469,
113660,Ray Durham,durhara01,5323,7574,174,3163,durhr001,IF,230,
121099,Al Reyes,reyesal01,5329,8238,175,3169,reyea001,P,1005,
120485,Andy Pettitte,pettian01,5331,7976,176,3171,petta001,P,840,
115629,LaTroy Hawkins,hawkila01,5336,7696,177,3176,hawkl001,P,729,
120878,Brad Radke,radkebr01,5337,,,,radkb001,,748,
112413,Brad Clontz,clontbr01,5339,10695,,,clonb001,,,
121834,Jason Schmidt,schmija01,5340,8053,179,3180,schmj001,P,1131,
122915,Tanyon Sturtze,sturtta01,5341,127119,180,3181,sturt001,P,1230,
123725,Ron Villone,villoro01,5346,10838,183,3186,villr001,P,1010,
110032,Juan Acevedo,,5348,,,,,P,458,
115210,Mark Grudzielanek,grudzma01,5359,7667,184,3199,grudm001,IF,653,
110135,Edgardo Alfonzo,alfoned01,5363,7375,185,3203,alfoe001,IF,859,
112270,Jason Christiansen,chrisja01,5366,,,,chrij002,,1111,
117842,Esteban Loaiza,loaizes01,5368,7822,187,3208,loaie001,P,1310,
119827,Hideo Nomo,nomohi01,5375,7930,188,,nomoh001,P,666,
120244,Jose Parra,parrajo01,5378,175031,,,parrj002,,70,
123584,Ugueth Urbina,urbinug01,5385,8137,,,urbiu001,,216,
114739,Jason Giambi,giambja01,5386,7633,190,3226,giamj001,1B,818,
115812,Dustin Hermanson,hermadu01,5387,7708,,,hermd001,,195,
118158,Ron Mahay,mahayro01,5395,10973,193,3235,mahar001,P,290,
121250,Mariano Rivera,riverma01,5400,8019,194,3240,rivem002,P,844,
115475,Tim Harikkala,harikti01,5402,127081,,,harit001,P,1909,
116539,Derek Jeter,jeterde01,5406,7758,197,3246,jeted001,IF,826,
119809,C.J. Nitkowski,nitkocj01,5411,,,,nitkc001,,570,
123839,Pete Walker,walkepe01,5416,174959,199,3256,walkp001,,1325,
119732,Phil Nevin,nevinph01,5420,,,,nevip001,,1049,
120802,Bill Pulsipher,pulsibi01,5422,,,,pulsb001,P,842,
118256,Matt Mantei,mantema01,5425,11033,,,mantm001,,64,
124748,Gregg Zaun,zaungr01,5427,8214,203,3267,zaung001,C,580,
112155,Roger Cedeno,cedenro01,5428,,,,ceder001,,869,
124234,Chris Widger,widgech01,5434,,,,widgc001,,1541,
123457,Chris Tremie,tremich01,5438,20280,,,tremc001,,1968,
120190,Orlando Palmeiro,palmeor01,5441,11191,206,,palmo001,,28,
111244,Joe Borowski,borowjo01,5448,13055,207,3288,boroj001,P,267,
116414,Jason Isringhausen,isrinja01,5449,7747,208,3289,isrij001,P,1158,
122987,Jeff Suppan,suppaje01,5454,8106,209,3294,suppj001,P,633,
112030,Giovanni Carrara,carragi01,5466,,,,carrg001,P,643,
111838,Paul Byrd,byrdpa01,5468,10693,211,3307,byrdp001,P,594,
123040,Mark Sweeney,sweenma01,5473,8110,212,3312,sweem001,1B,1408,
113028,Johnny Damon,damonjo01,5484,7546,214,3323,damoj001,OF,185,
123955,John Wasdin,wasdijo01,5490,8170,215,3329,wasdj001,P,1768,
111904,Mike Cameron,camermi01,5492,7488,216,3331,camem001,OF,1070,
114588,Karim Garcia,,5497,,,,,OF,1537,
120691,Jorge Posada,posadjo01,5502,7987,218,3341,posaj001,C,841,
121252,Ruben Rivera,,5503,,,,,OF,1550,
117928,Mark Loretta,loretma01,5504,7830,219,3343,lorem001,1B,1383,
118898,Jim Mecir,mecirji01,5506,,,,mecij001,,930,
122784,Shannon Stewart,stewash01,5509,8096,222,3348,stews002,OF,1322,
117566,Matt Lawton,lawtoma02,5511,,,,lawtm002,,390,
112316,Tony Clark,clarkto02,5513,7515,224,3352,clart002,1B,182,
115608,Scott Hatteberg,hattesc01,5514,7695,225,,hatts001,1B,916,
110870,Gary Bennett,bennega01,5517,18678,227,3356,benng001,C,420,
110383,Rich Aurilia,aurilri01,5523,7394,229,3362,aurir001,1B,1106,
123010,Mac Suzuki,,5529,,,,,P,1485,
123790,Billy Wagner,wagnebi02,5536,8163,231,3375,wagnb001,P,578,
113915,Shawn Estes,estessh01,5537,7590,232,3376,estes001,P,873,
150034,Doug Creek,creekdo01,5545,123315,,,creed001,,1202,
112736,Craig Counsell,counscr01,5547,7535,235,3386,counc001,IF,52,
118609,Quinton McCracken,mccraqu01,5548,,,,mccrq001,,1377,
115103,Todd Greene,greento02,5550,,237,,greet003,,1450,
114031,Sal Fasano,fasansa01,5553,10697,238,3392,fasas001,C,1205,
124417,Paul Wilson,wilsopa02,5561,8198,,,wilsp001,,1234,
116974,Jason Kendall,kendaja01,5562,7784,240,3401,kendj001,C,993,
120092,Keith Osik,osikke01,5567,,,,osikk001,,1001,
124643,Esteban Yan,yanes01,5580,8248,,,yan-e001,P,1236,
116058,Aaron Holbert,holbeaa01,5585,21745,,,holba001,,1960,
111867,Miguel Cairo,cairomi01,5586,7487,244,3425,cairm001,IF,1412,
115017,Tony Graffanino,graffto01,5590,7656,246,3429,graft001,IF,235,
119456,Chad Mottola,mottoch01,5594,128894,1502,,mottc001,,1315,
121074,Edgar Renteria,renteed01,5602,8007,247,3441,rente001,IF,1178,
123176,Amaury Telemaco,telemam01,5605,,,,telea001,,1802,
113679,Jermaine Dye,dyeje01,5610,10873,249,3449,dye-j001,OF,911,
112077,Raul Casanova,casanra01,5616,7499,250,3455,casar001,C,680,
118947,Ramiro Mendoza,,5617,,,,,P,836,
110682,Tony Batista,batisto01,5621,7409,1503,3460,batit001,1B,124,
113889,Darin Erstad,erstada01,5634,7587,253,3473,erstd001,1B,11,
113296,Elmer Dessens,desseel01,5640,7559,254,3479,desse001,P,317,
122007,Dan Serafini,serafda01,5646,11099,1807,3485,serad001,P,1812,
115056,Danny Graves,graveda01,5649,,256,3488,gravd001,1B,326,
124604,Jamey Wright,wrighja01,5650,8206,257,3489,wrigj001,P,715,
124482,Jay Witasick,witasja01,5653,11194,258,3492,witaj001,,1138,
116114,Mike Holtz,holtzmi01,5655,7728,,,holtm001,,920,
113724,Angel Echevarria,echevan01,5656,18418,,,echea001,,1498,
112901,Jacob Cruz,cruzja01,5659,11332,,,cruzj003,OF,463,
118079,Robert Machado,macharo01,5660,11875,,,machr001,,289,
118831,Billy McMillon,mcmilbi01,5662,21634,,,mcmib001,,834,
122751,Garrett Stephenson,stephga01,5663,8094,,,stepg001,,1185,
116380,Raul Ibanez,ibanera01,5665,7744,260,3504,ibanr001,OF,607,
121058,Desi Relaford,relafde01,5666,,261,,relad001,,1096,
121409,Scott Rolen,rolensc01,5668,8031,262,3507,roles001,IF,970,
116662,Andruw Jones,jonesan01,5681,7764,265,3520,jonea002,1B,96,
121361,Nerio Rodriguez,,5683,,,,,P,403,
119853,Greg Norton,nortogr01,5687,7931,266,3526,nortg001,1B,1388,
119442,Julio Mosquera,mosquju01,5688,,,,mosqj001,,8218,
119182,Doug Mirabelli,mirabdo01,5692,10875,268,3531,mirad001,,202,
113330,Einar Diaz,diazei01,5694,18559,269,3533,diaze002,,378,
279570,Ken Huckaby,huckake01,5696,128964,270,,huckk001,C,1306,
112223,Raul Chavez,chavera01,5697,11694,271,3536,chavr001,C,553,
110029,Bobby Abreu,abreubo01,5698,7367,272,3537,abreb001,OF,945,
124693,Dmitri Young,youngdm01,5699,8210,273,3538,yound001,1B,505,
123842,Todd Walker,walketo04,5700,8167,,,walkt002,,359,
120413,Neifi Perez,perezne01,5702,7970,275,,peren001,,620,
119125,Trever Miller,milletr02,5705,7887,276,3544,millt002,P,1672,
114596,Nomar Garciaparra,garcino01,5706,7630,277,,garcn001,1B,190,
113358,Mike DiFelice,difelmi01,5708,7564,278,3547,difem001,C,1151,
122231,Jose Silva,,5714,,,,,P,354,
117094,Gene Kingsale,kingsge01,5721,18580,,,kingg001,OF,1085,
119811,Trot Nixon,nixontr01,5731,11054,279,3570,nixot001,1B,204,
116423,Damian Jackson,jacksda04,5732,,,,jackd003,,471,
113819,Robert Ellis,ellisro02,5733,181149,,,ellir001,,649,
115817,Livan Hernandez,hernali01,5734,7710,281,3573,hernl003,P,1116,
115223,Vladimir Guerrero,guerrvl01,5737,7669,282,3576,guerv001,1B,778,
122596,Scott Spiezio,spiezsc01,5738,8083,283,3577,spies001,IF,37,
119215,Brian Moehler,moehlbr01,5743,7893,284,3582,moehb001,P,480,
121009,Pokey Reese,reesepo01,5746,,,,reesp001,IF,1004,
115586,Shigetoshi Hasegawa,hasegsh01,5747,,,,hases001,,1082,
112897,Deivi Cruz,cruzde01,5748,,,,cruzd001,,1025,
114928,Geremi Gonzalez,gonzaje01,5750,7646,287,,gonzj003,,1711,
118353,Tom Martin,martito02,5752,10707,288,3591,martt003,1B,1219,
111548,Emil Brown,brownem01,5756,18577,291,3595,browe001,OF,1197,
121215,Ricardo Rincon,rincori01,5757,8013,292,3596,rincr001,P,401,
112526,Bartolo Colon,colonba01,5763,7525,293,3602,colob001,P,375,
121556,Glendon Rusch,ruschgl01,5764,8037,294,3603,ruscg001,P,707,
150071,Ronnie Belliard,belliro01,5765,18797,295,3604,bellr002,IF,677,
121234,Todd Ritchie,,5766,,,,,P,253,
133140,Scott McClain,mcclasc01,5767,10974,296,,mccls001,1B,8951,
133342,Ricky Ledee,ledeeri01,5769,,297,3608,leder001,,1407,
123307,John Thomson,thomsjo01,5772,8130,299,3611,thomj005,,453,
134341,Jay Payton,paytoja01,5773,10876,300,3612,paytj001,OF,890,
117601,Derrek Lee,leede02,5775,7805,301,3614,lee-d002,1B,525,
123828,Jamie Walker,walkeja01,5781,10857,303,3620,walkj001,P,502,
116641,Russ Johnson,johnsru01,5792,18619,,,johnr006,,1216,
117955,Derek Lowe,lowede01,5801,7831,307,3640,lowed001,P,199,
113211,Mike DeJean,dejeami01,5803,7555,308,3642,dejem001,P,682,
117756,Cory Lidle,lidleco01,5806,,,,lidlc001,,926,
111531,Adrian Brown,brownad01,5813,13197,,,browa001,,985,
114342,Keith Foulke,foulkke01,5817,7611,310,3656,foulk001,P,231,
123387,Brett Tomko,tomkobr01,5819,8132,311,3658,tomkb001,P,1056,
120419,Matt Perisho,perisma01,5820,11312,,,perim001,P,1423,
113240,David Dellucci,delluda01,5823,10791,313,3662,delld001,1B,1402,
123723,Jose Vidro,vidrojo01,5827,8155,314,,vidrj001,1B,802,
110840,Mark Bellhorn,bellhma01,5831,10993,316,3670,bellm002,1B,264,
110134,Antonio Alfonseca,alfonan01,5835,7374,317,3674,alfoa001,P,260,
123689,Jorge Velandia,velanjo01,5836,8149,1828,3675,velaj001,IF,900,
111213,Aaron Boone,booneaa01,5838,7449,318,,boona001,IF,311,
124605,Jaret Wright,wrighja02,5839,8207,319,3678,wrigj002,,415,
113898,Kelvim Escobar,escobke01,5841,7588,320,3680,escok001,P,1298,
117276,Mark Kotsay,kotsama01,5846,7792,321,3685,kotsm001,1B,1042,
121096,Dennys Reyes,reyesde01,5847,10997,322,3686,reyed001,P,444,
119154,Kevin Millwood,millwke01,5848,7889,323,3687,millk004,P,106,
114354,Chad Fox,foxch02,5850,7613,324,3689,fox-c001,P,684,
111072,Henry Blanco,blanche01,5862,7437,325,3701,blanh001,C,81,
123107,Fernando Tatis,tatisfe01,5864,8244,1506,3703,tatif001,IF,798,
124548,Steve Woodard,,5865,,,,,P,1285,
113961,Scott Eyre,eyresc01,5869,7593,326,3708,eyres001,P,1300,
115732,Todd Helton,heltoto01,5870,7700,327,3709,heltt001,1B,432,
114517,Eddie Gaillard,gailled01,5877,10698,,,gaile001,,,
119064,Damian Miller,milleda02,5878,10853,329,3717,milld002,,65,
117763,Kerry Ligtenberg,ligteke01,5879,7818,,,ligtk001,,100,
116338,Torii Hunter,hunteto01,5884,10813,331,3723,huntt001,OF,731,
119865,Abraham O. Nunez,nunezab01,5886,18585,333,3725,nunea001,IF,1420,Abraham Nunez
120044,Magglio Ordonez,ordonma01,5889,7946,335,3728,ordom001,OF,248,
110179,Carlos Almanzar,almanca01,5893,10691,,,almac001,P,308,
118305,Eli Marrero,marreel01,5897,,338,3736,marre001,,1166,
120042,Luis Ordaz,ordazlu01,5898,11097,1507,3737,ordal001,IF,298,
122251,Randall Simon,simonra01,5903,11554,,,simor001,1B,497,
113845,Juan Encarnacion,encarju01,5904,8225,340,3743,encaj001,,320,
112131,Frank Catalanotto,catalfr01,5907,7507,341,3746,cataf001,OF,1241,
117244,Paul Konerko,konerpa01,5908,7791,342,3747,konep001,1B,242,
120074,David Ortiz,ortizda01,5909,8236,343,3748,ortid001,1B,745,
115132,Ben Grieve,grievbe01,5912,,,,grieb001,,1209,
123609,Javier Valentin,valenja01,5915,8142,345,3754,valej004,1B,759,
123660,Jason Varitek,varitja01,5921,8145,346,3760,varij001,C,217,
112881,Jim Crowell,croweji01,5923,21526,,,crowj001,,1928,
112087,Sean Casey,caseyse01,5930,7500,348,,cases001,1B,314,
122027,Richie Sexson,sexsori01,5931,11552,349,3770,sexsr001,1B,709,
124388,Enrique Wilson,,5932,,,,,1B,858,
134162,Travis Lee,leetr01,5939,,,,lee-t002,,958,
134280,John Halama,halamjo01,5943,7679,352,3782,halaj001,P,1080,
132980,Eric Milton,miltoer01,5944,7890,353,3783,milte001,P,743,
134321,Carl Pavano,pavanca01,5945,11056,354,3784,pavac001,P,790,
134320,Javier Vazquez,vazquja01,5947,8148,355,3786,vazqj001,P,801,
132961,Geoff Jenkins,jenkige01,5948,10774,356,3787,jenkg001,1B,690,
132620,Donnie Sadler,sadledo01,5949,,1695,3788,sadld001,,627,
133460,Russ Ortiz,ortizru01,5954,7951,358,3793,ortir001,P,1124,
131700,Cliff Politte,politcl01,5960,7984,359,3799,polic001,P,967,
131702,Braden Looper,loopebr01,5966,7826,360,3805,loopb001,P,526,
133240,Vic Darensbourg,darenvi01,5967,7547,361,3806,darev001,P,516,
133120,Jason Wood,woodja02,5971,8203,1509,3810,woodj001,1B,1999,
132660,Jolbert Cabrera,cabrejo02,5979,7485,1966,3818,cabrj002,IF,373,
132788,Kevin Millar,millake01,5981,10708,363,3820,millk005,1B,529,
134268,Kerry Wood,woodke02,5982,10722,364,3821,woodk002,P,304,
132260,Sidney Ponson,ponsosi01,5984,10709,365,3823,ponss001,P,161,
132360,Damon Hollins,hollida02,5987,10773,366,3826,holld002,OF,1919,
132720,Paul Bako,bakopa01,5990,10811,367,3829,bakop001,C,676,
133343,Preston Wilson,wilsopr01,5994,10880,368,3833,wilsp002,,545,
132220,Jarrod Washburn,washbja01,5995,10879,369,3834,washj001,P,40,
134265,Lou Merloni,merlolo01,5997,10874,370,,merll001,,201,
133160,Randy Winn,winnra01,5998,10896,371,3837,winnr001,OF,1235,
132241,Bryan Corey,coreybr01,5999,10891,1510,3838,coreb001,P,1439,
132880,Daryle Ward,wardda01,6002,10976,372,3841,wardd002,1B,579,
133225,Ryan Dempster,dempsry01,6006,11032,373,3845,dempr002,P,517,
133226,Mike Redmond,redmomi01,6008,11058,374,3847,redmm001,C,538,
133220,Jim Parque,parquji01,6012,11055,,,parqj001,,250,
133380,Aramis Ramirez,ramirar01,6014,11073,375,3853,ramia001,IF,1002,
133221,Justin Speier,speieju01,6015,11100,376,3854,speij001,P,451,
133960,Seth Greisinger,greisse01,6021,11171,,,greis001,,467,
133741,Mendy Lopez,,6022,,,,,1B,1458,
133321,Alex Cora,coraal01,6023,11211,379,3862,coraa001,IF,1386,
134260,Bengie Molina,molinbe01,6026,11271,380,3865,molib001,C,24,
134003,Scott Elarton,elartsc01,6030,11371,381,3869,elars001,P,426,
134001,Paul Lo Duca,loducpa01,6032,11393,382,3871,lodup001,C,662,
134000,Travis Smith,smithtr01,6033,285665,,,smitt001,,1522,
133982,Bob Howry,howrybo01,6036,11432,385,3875,howrb001,P,237,
135784,Placido Polanco,polanpl01,6049,11714,388,3888,polap001,IF,1176,
135782,Danny Klassen,klassda01,6050,11735,,,klasd001,IF,1455,
136304,Valerio De Los Santos,delosva01,6058,12974,,,delov001,1B,681,
136268,Chad Bradford,bradfch01,6061,13034,390,3900,bradc001,P,904,
136267,Troy Glaus,glaustr01,6063,13014,391,3902,glaut001,IF,15,
136300,Vance Wilson,wilsova01,6064,13040,392,3903,wilsv001,1B,903,
136303,Jose Nieves,,6069,,,,,IF,26,
136263,Tim Byrdak,byrdati01,6071,13117,393,3910,byrdt001,P,1995,
136422,Chris Michalak,michach01,6073,18398,1511,3912,michc001,P,1415,
136500,Wes Helms,helmswe01,6080,18517,395,3919,helmw001,IF,94,
136582,Hector Ortiz,ortizhe01,6083,18562,,,ortih001,,1264,
136580,Kirk Bullinger,bulliki01,6084,18558,,,bullk001,,552,
136601,George Lombard,lombage01,6085,18582,1512,3924,lombg001,OF,101,
136600,Bruce Chen,chenbr01,6087,18578,396,3926,chenb001,P,769,
136602,Odalis Perez,perezod01,6088,18586,397,3927,pereo001,P,668,
136608,Armando Rios,riosar01,6090,18563,,,riosa001,1B,1006,
136607,Joe McEwing,mcewijo01,6091,18584,398,3930,mcewj001,,887,
136660,Mark DeRosa,derosma01,6094,18618,399,3933,derom001,IF,1392,
136663,Fernando Seguignol,seguife01,6096,,,,seguf001,1B,1836,
136725,Matt Clement,clemema01,6099,18658,401,3938,clemm001,1B,271,
136726,Mike Kinkade,kinkami01,6100,18659,,,kinkm001,OF,660,
136724,Marlon Anderson,anderma02,6101,18677,402,3940,andem003,1B,947,
136722,Carlos Guillen,guillca01,6105,18701,403,3944,guilc001,OF,1079,
136727,Vladimir Nunez,nunezvl01,6107,18719,1992,3946,nunev001,P,532,
150229,A.J. Pierzynski,pierzaj01,6109,18720,404,3948,piera001,C,746,
